date,replicate,shelter_trend,State,state_name
2021-03-21,1,0.08669316793407622,11001,Bogota
2021-03-22,1,0.09181235559910705,11001,Bogota
2021-03-23,1,0.09798671260918851,11001,Bogota
2021-03-24,1,0.10523614389463737,11001,Bogota
2021-03-25,1,0.11355487123617453,11001,Bogota
2021-03-26,1,0.12291018855151975,11001,Bogota
2021-03-27,1,0.1332426201745499,11001,Bogota
2021-03-28,1,0.14446759628986172,11001,Bogota
2021-03-29,1,0.15647870154372706,11001,Bogota
2021-03-30,1,0.16915249393992488,11001,Bogota
2021-03-31,1,0.18235483523906515,11001,Bogota
2021-04-01,1,0.19594862506754096,11001,Bogota
2021-04-02,1,0.20980279256703516,11001,Bogota
2021-04-03,1,0.22380237520249496,11001,Bogota
2021-04-04,1,0.237859507474454,11001,Bogota
2021-04-05,1,0.2373783539657409,11001,Bogota
2021-04-06,1,0.237859507474454,11001,Bogota
2021-04-07,1,0.237859507474454,11001,Bogota
2021-04-08,1,0.237859507474454,11001,Bogota
2021-04-09,1,0.237859507474454,11001,Bogota
2021-04-10,1,0.237859507474454,11001,Bogota
2021-04-11,1,0.237859507474454,11001,Bogota
2021-04-12,1,0.237859507474454,11001,Bogota
2021-04-13,1,0.237859507474454,11001,Bogota
2021-04-14,1,0.237859507474454,11001,Bogota
2021-04-15,1,0.237859507474454,11001,Bogota
2021-04-16,1,0.237859507474454,11001,Bogota
2021-04-17,1,0.237859507474454,11001,Bogota
2021-04-18,1,0.237859507474454,11001,Bogota
2021-04-19,1,0.237859507474454,11001,Bogota
2021-04-20,1,0.237859507474454,11001,Bogota
2021-04-21,1,0.237859507474454,11001,Bogota
2021-04-22,1,0.237859507474454,11001,Bogota
2021-04-23,1,0.237859507474454,11001,Bogota
2021-04-24,1,0.237859507474454,11001,Bogota
2021-04-25,1,0.237859507474454,11001,Bogota
2021-04-26,1,0.237859507474454,11001,Bogota
2021-04-27,1,0.237859507474454,11001,Bogota
2021-04-28,1,0.237859507474454,11001,Bogota
2021-04-29,1,0.237859507474454,11001,Bogota
2021-04-30,1,0.237859507474454,11001,Bogota
2021-05-01,1,0.237859507474454,11001,Bogota
2021-05-02,1,0.237859507474454,11001,Bogota
2021-05-03,1,0.237859507474454,11001,Bogota
2021-05-04,1,0.237859507474454,11001,Bogota
2021-05-05,1,0.237859507474454,11001,Bogota
2021-05-06,1,0.237859507474454,11001,Bogota
2021-05-07,1,0.237859507474454,11001,Bogota
2021-05-08,1,0.237859507474454,11001,Bogota
2021-05-09,1,0.237859507474454,11001,Bogota
2021-05-10,1,0.237859507474454,11001,Bogota
2021-05-11,1,0.237859507474454,11001,Bogota
2021-05-12,1,0.237859507474454,11001,Bogota
2021-05-13,1,0.237859507474454,11001,Bogota
2021-05-14,1,0.237859507474454,11001,Bogota
2021-05-15,1,0.237859507474454,11001,Bogota
2021-05-16,1,0.237859507474454,11001,Bogota
2021-05-17,1,0.237859507474454,11001,Bogota
2021-05-18,1,0.237859507474454,11001,Bogota
2021-05-19,1,0.237859507474454,11001,Bogota
2021-05-20,1,0.237859507474454,11001,Bogota
2021-05-21,1,0.237859507474454,11001,Bogota
2021-05-22,1,0.237859507474454,11001,Bogota
2021-05-23,1,0.237859507474454,11001,Bogota
2021-05-24,1,0.237859507474454,11001,Bogota
2021-05-25,1,0.237859507474454,11001,Bogota
2021-05-26,1,0.237859507474454,11001,Bogota
2021-05-27,1,0.237859507474454,11001,Bogota
2021-05-28,1,0.237859507474454,11001,Bogota
2021-05-29,1,0.237859507474454,11001,Bogota
2021-05-30,1,0.237859507474454,11001,Bogota
2021-05-31,1,0.237859507474454,11001,Bogota
2021-06-01,1,0.237859507474454,11001,Bogota
2021-06-02,1,0.237859507474454,11001,Bogota
2021-06-03,1,0.237859507474454,11001,Bogota
2021-06-04,1,0.237859507474454,11001,Bogota
2021-06-05,1,0.237859507474454,11001,Bogota
2021-06-06,1,0.237859507474454,11001,Bogota
2021-06-07,1,0.237859507474454,11001,Bogota
2021-06-08,1,0.237859507474454,11001,Bogota
2021-06-09,1,0.237859507474454,11001,Bogota
2021-06-10,1,0.237859507474454,11001,Bogota
2021-06-11,1,0.237859507474454,11001,Bogota
2021-06-12,1,0.237859507474454,11001,Bogota
2021-06-13,1,0.237859507474454,11001,Bogota
2021-06-14,1,0.237859507474454,11001,Bogota
2021-06-15,1,0.237859507474454,11001,Bogota
2021-06-16,1,0.237859507474454,11001,Bogota
2021-06-17,1,0.237859507474454,11001,Bogota
2021-06-18,1,0.237859507474454,11001,Bogota
2021-06-19,1,0.237859507474454,11001,Bogota
2021-06-20,1,0.237859507474454,11001,Bogota
2021-06-21,1,0.237859507474454,11001,Bogota
2021-06-22,1,0.237859507474454,11001,Bogota
2021-06-23,1,0.237859507474454,11001,Bogota
2021-06-24,1,0.237859507474454,11001,Bogota
2021-06-25,1,0.237859507474454,11001,Bogota
2021-06-26,1,0.237859507474454,11001,Bogota
2021-06-27,1,0.237859507474454,11001,Bogota
2021-06-28,1,0.237859507474454,11001,Bogota
2021-06-29,1,0.237859507474454,11001,Bogota
2021-06-30,1,0.237859507474454,11001,Bogota
2021-07-01,1,0.237859507474454,11001,Bogota
2021-07-02,1,0.237859507474454,11001,Bogota
2021-07-03,1,0.237859507474454,11001,Bogota
2021-07-04,1,0.237859507474454,11001,Bogota
2021-07-05,1,0.237859507474454,11001,Bogota
2021-07-06,1,0.237859507474454,11001,Bogota
2021-07-07,1,0.237859507474454,11001,Bogota
2021-07-08,1,0.237859507474454,11001,Bogota
2021-07-09,1,0.237859507474454,11001,Bogota
2021-07-10,1,0.237859507474454,11001,Bogota
