Date,ICU_admissions,ICU_cancelled,ICU_deaths,ICU_admissions_demand,Prop,ICU_admissions_bog
2021-08-04,41,8,1,49,0,41
2021-08-05,32,8,2,40,0,32
2021-08-06,42,5,1,47,0,42
2021-08-07,26,7,0,33,0,26
2021-08-08,35,3,0,38,0,35
2021-08-09,19,6,0,25,0,19
2021-08-10,34,10,1,44,0,34
2021-08-11,27,4,0,31,0,27
2021-08-12,29,4,0,33,0,29
2021-08-13,24,2,1,26,0,24
2021-08-14,23,6,0,29,0,23
2021-08-15,24,3,0,27,0,24
2021-08-16,32,5,0,37,0,32
2021-08-17,27,9,0,36,0,27
2021-08-18,22,5,0,27,0,22
2021-08-19,30,3,2,33,0,30
2021-08-20,15,6,1,21,0,15
2021-08-21,23,2,2,25,0,23
2021-08-22,12,7,0,19,0,12
2021-08-23,26,1,0,27,0,26
2021-08-24,24,1,0,25,0,24
2021-08-25,14,4,0,18,0,14
2021-08-26,18,5,1,23,0,18
2021-08-27,15,3,0,18,0,15
2021-08-28,21,8,0,29,0,21
2021-08-29,15,6,0,21,0,15
2021-08-30,17,4,0,21,0,17
2021-08-31,23,5,0,28,0,23
2021-09-01,17,4,0,21,0,17
2021-09-02,19,2,0,21,0,19
2021-09-03,19,3,0,22,0,19
2021-09-04,17,5,0,22,0,17
2021-09-05,9,2,0,11,0,9
2021-09-06,21,5,0,26,0,21
2021-09-07,26,4,1,30,0,26
2021-09-08,17,6,0,23,0,17
2021-09-09,32,8,0,40,0,32
2021-09-10,18,9,1,27,0,18
2021-09-11,10,5,0,15,0,10
2021-09-12,12,5,0,17,0,12
2021-09-13,18,3,0,21,0,18
2021-09-14,15,3,0,18,0,15
2021-09-15,25,4,0,29,0,25
2021-09-16,13,0,0,13,0,13
2021-09-17,13,7,1,20,0,13
2021-09-18,14,6,1,20,0,14
2021-09-19,12,4,0,16,0,12
2021-09-20,13,9,0,22,0,13
2021-09-21,12,5,0,17,0,12
2021-09-22,25,5,0,30,0,25
2021-09-23,27,8,1,35,0,27
2021-09-24,16,5,0,21,0,16
2021-09-25,19,2,0,21,0,19
2021-09-26,17,4,0,21,0,17
2021-09-27,18,14,1,32,0,18
2021-09-28,17,3,0,20,0,17
2021-09-29,16,4,0,20,0,16
2021-09-30,17,8,1,25,0,17
2021-10-01,19,7,0,26,0,19
2021-10-02,16,6,0,22,0,16
2021-10-03,15,4,0,19,0,15
2021-10-04,12,4,0,16,0,12
2021-10-05,18,3,0,21,0,18
2021-10-06,17,11,0,28,0,17
2021-10-07,9,4,0,13,0,9
2021-10-08,19,4,0,23,0,19
2021-10-09,22,9,1,31,0,22
2021-10-10,11,3,0,14,0,11
2021-10-11,15,6,0,21,0,15
2021-10-12,12,8,0,20,0,12
2021-10-13,15,5,0,20,0,15
2021-10-14,17,4,0,21,0,17
2021-10-15,16,2,0,18,0,16
2021-10-16,10,3,0,13,0,10
2021-10-17,13,2,0,15,0,13
2021-10-18,9,2,1,11,0,9
2021-10-19,25,8,1,33,0,25
2021-10-20,13,3,0,16,0,13
2021-10-21,22,1,1,23,0,22
2021-10-22,14,4,0,18,0,14
2021-10-23,8,4,0,12,0,8
2021-10-24,9,4,0,13,0,9
2021-10-25,14,5,0,19,0,14
2021-10-26,12,3,0,15,0,12
2021-10-27,17,4,0,21,0,17
2021-10-28,13,4,0,17,0,13
2021-10-29,11,5,0,16,0,11
2021-10-30,13,7,0,20,0,13
2021-10-31,9,4,0,13,0,9
2021-11-01,13,5,1,18,0,13
2021-11-02,22,7,0,29,0,22
2021-11-03,17,2,0,19,0,17
2021-11-04,19,3,0,22,0,19
2021-11-05,18,5,1,23,0,18
2021-11-06,13,1,0,14,0,13
2021-11-07,16,2,0,18,0,16
2021-11-08,15,5,0,20,0,15
2021-11-09,19,4,0,23,0,19
2021-11-10,22,8,0,30,0,22
2021-11-11,18,0,1,18,0,18
2021-11-12,20,6,1,26,0,20
2021-11-13,11,2,0,13,0,11
2021-11-14,13,1,0,14,0,13
2021-11-15,20,2,0,22,0,20
2021-11-16,15,7,1,22,0,15
2021-11-17,15,5,0,20,0,15
2021-11-18,12,8,1,20,0,12
2021-11-19,15,2,0,17,0,15
2021-11-20,15,10,1,25,0,15
2021-11-21,10,3,0,13,0,10
2021-11-22,15,6,0,21,0,15
2021-11-23,13,8,0,21,0,13
2021-11-24,18,8,0,26,0,18
