MunCode,Localidad,Date,Cases,Deaths
11001,5,2020-08-02,93,3
11001,5,2020-08-03,138,4
11001,5,2020-08-04,122,7
11001,5,2020-08-05,158,4
11001,5,2020-08-06,109,2
11001,5,2020-08-07,82,8
11001,5,2020-08-08,140,5
11001,5,2020-08-09,78,2
11001,5,2020-08-10,131,7
11001,5,2020-08-11,116,3
11001,5,2020-08-12,150,4
11001,5,2020-08-13,101,5
11001,5,2020-08-14,135,3
11001,5,2020-08-15,114,3
11001,5,2020-08-16,72,3
11001,5,2020-08-17,110,4
11001,5,2020-08-18,152,3
11001,5,2020-08-19,94,5
11001,5,2020-08-20,81,3
11001,5,2020-08-21,144,5
11001,5,2020-08-22,93,3
